Date,Year,Month,Day,Quarter,Week,DayOfWeek,DayName,MonthName,IsWeekend
2020-11-30 06:29:29.604034,2020,11,30,4,49,0,Monday,November,False
2020-12-01 06:29:29.604034,2020,12,1,4,49,1,Tuesday,December,False
2020-12-02 06:29:29.604034,2020,12,2,4,49,2,Wednesday,December,False
2020-12-03 06:29:29.604034,2020,12,3,4,49,3,Thursday,December,False
2020-12-04 06:29:29.604034,2020,12,4,4,49,4,Friday,December,False
2020-12-05 06:29:29.604034,2020,12,5,4,49,5,Saturday,December,True
2020-12-06 06:29:29.604034,2020,12,6,4,49,6,Sunday,December,True
2020-12-07 06:29:29.604034,2020,12,7,4,50,0,Monday,December,False
2020-12-08 06:29:29.604034,2020,12,8,4,50,1,Tuesday,December,False
2020-12-09 06:29:29.604034,2020,12,9,4,50,2,Wednesday,December,False
2020-12-10 06:29:29.604034,2020,12,10,4,50,3,Thursday,December,False
2020-12-11 06:29:29.604034,2020,12,11,4,50,4,Friday,December,False
2020-12-12 06:29:29.604034,2020,12,12,4,50,5,Saturday,December,True
2020-12-13 06:29:29.604034,2020,12,13,4,50,6,Sunday,December,True
2020-12-14 06:29:29.604034,2020,12,14,4,51,0,Monday,December,False
2020-12-15 06:29:29.604034,2020,12,15,4,51,1,Tuesday,December,False
2020-12-16 06:29:29.604034,2020,12,16,4,51,2,Wednesday,December,False
2020-12-17 06:29:29.604034,2020,12,17,4,51,3,Thursday,December,False
2020-12-18 06:29:29.604034,2020,12,18,4,51,4,Friday,December,False
2020-12-19 06:29:29.604034,2020,12,19,4,51,5,Saturday,December,True
2020-12-20 06:29:29.604034,2020,12,20,4,51,6,Sunday,December,True
2020-12-21 06:29:29.604034,2020,12,21,4,52,0,Monday,December,False
2020-12-22 06:29:29.604034,2020,12,22,4,52,1,Tuesday,December,False
2020-12-23 06:29:29.604034,2020,12,23,4,52,2,Wednesday,December,False
2020-12-24 06:29:29.604034,2020,12,24,4,52,3,Thursday,December,False
2020-12-25 06:29:29.604034,2020,12,25,4,52,4,Friday,December,False
2020-12-26 06:29:29.604034,2020,12,26,4,52,5,Saturday,December,True
2020-12-27 06:29:29.604034,2020,12,27,4,52,6,Sunday,December,True
2020-12-28 06:29:29.604034,2020,12,28,4,53,0,Monday,December,False
2020-12-29 06:29:29.604034,2020,12,29,4,53,1,Tuesday,December,False
2020-12-30 06:29:29.604034,2020,12,30,4,53,2,Wednesday,December,False
2020-12-31 06:29:29.604034,2020,12,31,4,53,3,Thursday,December,False
2021-01-01 06:29:29.604034,2021,1,1,1,53,4,Friday,January,False
2021-01-02 06:29:29.604034,2021,1,2,1,53,5,Saturday,January,True
2021-01-03 06:29:29.604034,2021,1,3,1,53,6,Sunday,January,True
